country_code,indicator,currency_code,frequency,year,avg_wage_value
FRA,AVWAGE,USD,A,2010,43749.4888
FRA,AVWAGE,USD,A,2011,43681.75725
FRA,AVWAGE,USD,A,2012,43975.1502
FRA,AVWAGE,USD,A,2013,44345.13709
FRA,AVWAGE,USD,A,2014,44650.85801
FRA,AVWAGE,USD,A,2015,45087.62571
FRA,AVWAGE,USD,A,2016,45610.18378
FRA,AVWAGE,USD,A,2017,46162.80625
FRA,AVWAGE,USD,A,2018,46256.36191
FRA,AVWAGE,USD,A,2019,46480.6154
DEU,AVWAGE,USD,A,1991,39950.68908
DEU,AVWAGE,USD,A,1992,42307.1946
DEU,AVWAGE,USD,A,1993,42588.01672
DEU,AVWAGE,USD,A,1994,42679.93432
DEU,AVWAGE,USD,A,1995,43590.42003
DEU,AVWAGE,USD,A,1996,44097.84554
DEU,AVWAGE,USD,A,1997,43916.00634
DEU,AVWAGE,USD,A,1998,44454.36089
DEU,AVWAGE,USD,A,1999,45055.95807
DEU,AVWAGE,USD,A,2000,45309.74183
DEU,AVWAGE,USD,A,2001,45655.0802
DEU,AVWAGE,USD,A,2002,45929.54614
DEU,AVWAGE,USD,A,2003,46082.95538
DEU,AVWAGE,USD,A,2004,46084.60734
DEU,AVWAGE,USD,A,2005,46275.41241
DEU,AVWAGE,USD,A,2006,46266.43387
DEU,AVWAGE,USD,A,2007,46137.94189
DEU,AVWAGE,USD,A,2008,46353.97246
DEU,AVWAGE,USD,A,2009,46365.28439
DEU,AVWAGE,USD,A,2010,46772.23369
DEU,AVWAGE,USD,A,2011,47738.9826
DEU,AVWAGE,USD,A,2012,48391.85704
DEU,AVWAGE,USD,A,2013,48862.17112
DEU,AVWAGE,USD,A,2014,49700.10674
DEU,AVWAGE,USD,A,2015,50878.09477
DEU,AVWAGE,USD,A,2016,51622.98488
DEU,AVWAGE,USD,A,2017,52181.30995
DEU,AVWAGE,USD,A,2018,52929.5536
DEU,AVWAGE,USD,A,2019,53637.8016
GRC,AVWAGE,USD,A,1995,23905.68328
GRC,AVWAGE,USD,A,1996,23917.1907
GRC,AVWAGE,USD,A,1997,26247.86278
GRC,AVWAGE,USD,A,1998,26621.06428
GRC,AVWAGE,USD,A,1999,27436.97399
GRC,AVWAGE,USD,A,2000,28157.79523
GRC,AVWAGE,USD,A,2001,28843.37287
GRC,AVWAGE,USD,A,2002,31415.72274
GRC,AVWAGE,USD,A,2003,32744.12257
GRC,AVWAGE,USD,A,2004,33437.67974
GRC,AVWAGE,USD,A,2005,33384.72875
GRC,AVWAGE,USD,A,2006,33742.1686
GRC,AVWAGE,USD,A,2007,33807.53137
GRC,AVWAGE,USD,A,2008,33292.18671
GRC,AVWAGE,USD,A,2009,34735.85367
GRC,AVWAGE,USD,A,2010,32581.73598
GRC,AVWAGE,USD,A,2011,30397.62383
GRC,AVWAGE,USD,A,2012,28971.90463
GRC,AVWAGE,USD,A,2013,27099.74068
GRC,AVWAGE,USD,A,2014,27574.19248
GRC,AVWAGE,USD,A,2015,27448.75013
GRC,AVWAGE,USD,A,2016,27394.53173
GRC,AVWAGE,USD,A,2017,27321.80061
GRC,AVWAGE,USD,A,2018,27479.68523
GRC,AVWAGE,USD,A,2019,27459.1259
HUN,AVWAGE,USD,A,1995,15265.99801
HUN,AVWAGE,USD,A,1996,15271.642
HUN,AVWAGE,USD,A,1997,15648.49192
HUN,AVWAGE,USD,A,1998,16006.67289
HUN,AVWAGE,USD,A,1999,16075.68645
HUN,AVWAGE,USD,A,2000,16817.16172
HUN,AVWAGE,USD,A,2001,18093.13824
HUN,AVWAGE,USD,A,2002,18998.37123
HUN,AVWAGE,USD,A,2003,20524.53608
HUN,AVWAGE,USD,A,2004,21955.64623
HUN,AVWAGE,USD,A,2005,22920.62069
HUN,AVWAGE,USD,A,2006,23365.35329
HUN,AVWAGE,USD,A,2007,23194.53728
HUN,AVWAGE,USD,A,2008,23520.10745
HUN,AVWAGE,USD,A,2009,22184.57007
HUN,AVWAGE,USD,A,2010,22367.04637
HUN,AVWAGE,USD,A,2011,22543.10831
HUN,AVWAGE,USD,A,2012,21663.53667
HUN,AVWAGE,USD,A,2013,21413.70357
HUN,AVWAGE,USD,A,2014,21148.00655
HUN,AVWAGE,USD,A,2015,21449.78557
HUN,AVWAGE,USD,A,2016,21810.41182
HUN,AVWAGE,USD,A,2017,23527.36545
HUN,AVWAGE,USD,A,2018,24702.95934
HUN,AVWAGE,USD,A,2019,26223.19671
IRL,AVWAGE,USD,A,1990,25028.13337
IRL,AVWAGE,USD,A,1991,28355.38521
IRL,AVWAGE,USD,A,1992,29537.40027
IRL,AVWAGE,USD,A,1993,31001.02068
IRL,AVWAGE,USD,A,1994,31199.59686
IRL,AVWAGE,USD,A,1995,31753.15935
IRL,AVWAGE,USD,A,1996,32066.11256
IRL,AVWAGE,USD,A,1997,34049.08038
IRL,AVWAGE,USD,A,1998,36040.37445
IRL,AVWAGE,USD,A,1999,36820.82336
IRL,AVWAGE,USD,A,2000,37537.81189
IRL,AVWAGE,USD,A,2001,38790.96436
IRL,AVWAGE,USD,A,2002,38938.04184
IRL,AVWAGE,USD,A,2003,39944.87228
IRL,AVWAGE,USD,A,2004,41043.76393
IRL,AVWAGE,USD,A,2005,42759.8063
IRL,AVWAGE,USD,A,2006,43226.80148
IRL,AVWAGE,USD,A,2007,44470.85968
IRL,AVWAGE,USD,A,2008,45879.23121
IRL,AVWAGE,USD,A,2009,49206.22971
IRL,AVWAGE,USD,A,2010,49757.88113
IRL,AVWAGE,USD,A,2011,49745.93484
IRL,AVWAGE,USD,A,2012,49193.78108
IRL,AVWAGE,USD,A,2013,47971.80113
IRL,AVWAGE,USD,A,2014,47597.19916
IRL,AVWAGE,USD,A,2015,48407.79125
IRL,AVWAGE,USD,A,2016,49030.4212
IRL,AVWAGE,USD,A,2017,49585.17818
IRL,AVWAGE,USD,A,2018,49695.39773
IRL,AVWAGE,USD,A,2019,50490.47141
ITA,AVWAGE,USD,A,1990,37733.01242
ITA,AVWAGE,USD,A,1991,38050.01204
ITA,AVWAGE,USD,A,1992,38013.17543
ITA,AVWAGE,USD,A,1993,37427.64705
ITA,AVWAGE,USD,A,1994,36942.97934
ITA,AVWAGE,USD,A,1995,36134.19651
ITA,AVWAGE,USD,A,1996,36430.10569
ITA,AVWAGE,USD,A,1997,37469.68325
ITA,AVWAGE,USD,A,1998,37590.9681
ITA,AVWAGE,USD,A,1999,38023.83484
ITA,AVWAGE,USD,A,2000,38008.81342
ITA,AVWAGE,USD,A,2001,38274.46006
ITA,AVWAGE,USD,A,2002,38003.26668
ITA,AVWAGE,USD,A,2003,37900.81534
ITA,AVWAGE,USD,A,2004,38631.88383
ITA,AVWAGE,USD,A,2005,39149.18104
ITA,AVWAGE,USD,A,2006,39393.63877
ITA,AVWAGE,USD,A,2007,39377.24145
